date,lat,lon,trap,station,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,species_UNSPECIFIED CULEX,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,depth,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,ra,fg,gr,br,tsra,sn,dz,fg+,sq,fu,hz,mifg,vcfg,bcfg,vcts,ts,num_mos,wnv_pres
2007-05-29,41.688324,-87.676709,86,2,0,0,0,1,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.688324,-87.676709,86,2,0,0,1,0,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.720848,-87.666014,94,2,0,0,0,1,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0.0
2007-05-29,41.731922,-87.677512,96,2,0,0,0,1,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,0.0
2007-05-29,41.731922,-87.677512,96,2,0,1,0,0,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.732984,-87.649642,159,2,0,0,0,1,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.862292,-87.64886,91,2,0,0,0,1,0,0,0,0,88,65,77,10,59,66,0,12,421,1917,0,0.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.867108,-87.654224,48,1,0,0,0,1,0,0,0,0,88,60,74,10,58,65,0,9,421,1917,0,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.0
2007-05-29,41.867108,-87.654224,48,1,0,0,1,0,0,0,0,0,88,60,74,10,58,65,0,9,421,1917,0,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
2007-05-29,41.891118,-87.65449100000001,46,1,0,0,0,1,0,0,0,0,88,60,74,10,58,65,0,9,421,1917,0,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
